iter	Passed	Remaining
0	1	176
1	3	147
2	4	134
3	5	121
4	6	117
5	6	109
6	7	103
7	8	98
8	9	94
9	10	90
10	10	88
11	11	86
12	12	84
13	13	82
14	14	80
15	14	78
16	15	76
17	16	75
18	17	74
19	18	73
20	19	72
21	20	72
22	21	71
23	22	70
24	23	69
25	24	68
26	25	67
27	26	67
28	27	67
29	28	65
30	29	64
31	29	63
32	30	62
33	31	60
34	32	59
35	33	58
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	37	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	48
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	48	42
53	49	41
54	49	40
55	50	39
56	51	38
57	52	37
58	52	36
59	53	35
60	54	34
61	55	33
62	56	33
63	57	32
64	57	31
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	26
71	64	25
72	65	24
73	65	23
74	66	22
75	67	21
76	68	20
77	69	19
78	69	18
79	70	17
80	71	16
81	72	15
82	73	15
83	74	14
84	74	13
85	75	12
86	76	11
87	78	10
88	79	9
89	80	8
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	86	3
96	87	2
97	87	1
98	88	0
99	89	0
